gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc,site,year,doy50,doy25,doy10
gcc_90,2024-10-15,2024-09-24,2024-09-12,2024-12-04,2024-11-25,2024-09-20,2024-09-21,2024-09-16,2024-08-31,0.36246,0.36432,0.36846,0.36104,0.3753,NEON.D16.WREF.DP1.00033,2024,256,268,289
gcc_90,2023-11-23,2023-10-22,2023-09-26,2023-12-01,2023-11-22,2023-10-14,2023-10-22,2023-10-12,2023-09-14,0.36075,0.36349,0.36845,0.35913,0.37757,NEON.D16.WREF.DP1.00033,2023,269,295,327
gcc_90,2022-10-30,2022-10-19,2022-09-22,2022-11-20,2022-10-28,2022-10-03,2022-10-20,2022-10-02,2022-09-09,0.36165,0.36489,0.36991,0.36004,0.37976,NEON.D16.WREF.DP1.00033,2022,265,292,303
gcc_90,2021-12-13,2021-12-10,2021-12-01,2021-12-15,2021-12-12,2021-12-05,2021-12-10,2021-12-06,2021-11-25,0.35606,0.35967,0.3671,0.35344,0.38071,NEON.D16.WREF.DP1.00033,2021,335,344,347
gcc_90,2020-09-11,2020-09-06,2020-08-31,2020-11-27,2020-09-11,2020-09-04,2020-09-10,2020-09-03,2020-08-27,0.36732,0.36979,0.37486,0.36595,0.38296,NEON.D16.WREF.DP1.00033,2020,244,250,255
gcc_90,2019-11-26,2019-10-23,2019-10-09,2019-12-04,2019-10-29,2019-10-17,2019-10-23,2019-10-16,2019-10-01,0.36395,0.36701,0.37277,0.36238,0.3826,NEON.D16.WREF.DP1.00033,2019,282,296,330
gcc_90,2018-11-15,2018-11-12,2018-11-04,2018-11-21,2018-11-13,2018-11-05,2018-11-14,2018-11-11,2018-09-02,0.36407,0.36678,0.37198,0.36265,0.38123,NEON.D16.WREF.DP1.00033,2018,308,316,319
