"","gcc_value","transition_10","transition_25","transition_50","transition_10_lower_ci","transition_25_lower_ci","transition_50_lower_ci","transition_10_upper_ci","transition_25_upper_ci","transition_50_upper_ci","threshold_10","threshold_25","threshold_50","min_gcc","max_gcc","site","year","doy50","doy25","doy10"
"1","gcc_90",2018-03-21,2018-03-30,2018-05-04,2018-03-08,2018-03-21,2018-04-05,2018-03-31,2018-04-10,2018-05-23,0.3671,0.36944,0.37397,0.36555,0.38224,"NEON.D16.WREF.DP1.00033",2018,124,89,80
"2","gcc_90",2019-03-17,2019-03-24,2019-04-09,2019-03-13,2019-03-20,2019-04-02,2019-03-22,2019-03-30,2019-05-07,0.35782,0.36198,0.36992,0.35524,0.38395,"NEON.D16.WREF.DP1.00033",2019,99,83,76
"3","gcc_90",2020-03-28,2020-04-11,2020-05-03,2020-03-03,2020-03-31,2020-04-21,2020-04-09,2020-04-21,2020-05-26,0.36314,0.36658,0.37229,0.36119,0.38334,"NEON.D16.WREF.DP1.00033",2020,124,102,88
"4","gcc_90",2021-03-27,2021-04-13,2021-05-03,2021-03-12,2021-04-02,2021-04-23,2021-04-11,2021-04-22,2021-05-26,0.36227,0.36569,0.37146,0.36016,0.38276,"NEON.D16.WREF.DP1.00033",2021,123,103,86
"5","gcc_90",2022-03-10,2022-04-14,2022-05-25,2022-03-02,2022-03-11,2022-05-11,2022-03-11,2022-04-15,2022-06-04,0.3613,0.36457,0.36966,0.35963,0.3794,"NEON.D16.WREF.DP1.00033",2022,145,104,69
"6","gcc_90",2023-03-26,2023-04-19,2023-05-04,2023-03-18,2023-03-31,2023-04-28,2023-04-17,2023-04-27,2023-05-11,0.35648,0.35983,0.36636,0.35409,0.37821,"NEON.D16.WREF.DP1.00033",2023,124,109,85
"7","gcc_90",2024-03-16,2024-03-21,2024-05-23,2024-03-12,2024-03-16,2024-05-01,2024-03-21,2024-03-30,2024-06-02,0.35895,0.36141,0.36616,0.35718,0.37508,"NEON.D16.WREF.DP1.00033",2024,144,81,76
